L,g,E_exact,E_vmc_real,Var_E,Mean_Two_Point_Correlation,Var_Two_Point_Correlation,Exact_Two_Point_Correlation,Exact_Two_Point_Correlation_Variance,rel_error
12,1.26,-17.623479772103234,-17.62345049520576,5.315114305072602e-05,0.13276529947916668,0.25943446466392944,0.1325522932472883,0.2592277790487467,1.661243855005928e-06
12,1.24,-17.42987388812398,-17.429885265209595,5.22953332889915e-05,0.14724853515625,0.26250325300892197,0.14630419969005795,0.2628170444736073,6.52734821246579e-07
12,1.22,-17.238313411768733,-17.23842340603005,3.1274774669486225e-05,0.16076009114583334,0.26642453076839445,0.16162132900163362,0.2663232426980688,6.380801804174915e-06
12,1.2,-17.048959356652865,-17.04904059227556,3.1487724273643005e-05,0.17911458333333333,0.270524302842882,0.17866064471561158,0.26964427578758016,4.7648434719720604e-06
12,1.18,-16.861988714358816,-16.862043594425337,3.094052427407902e-05,0.19745117187500003,0.27324665017657807,0.19757813339901123,0.2726473580626595,3.2546615616401944e-06
12,1.16,-16.677595010806915,-16.677526380557687,4.619652641550827e-05,0.216708984375,0.2748905147022671,0.218520051861832,0.2751647006011208,4.115116668990988e-06
12,1.14,-16.495988191488472,-16.49597627553667,3.325223293929341e-05,0.24073649088541668,0.2764553929110368,0.24161075601666812,0.2769910658115896,7.223545303163125e-07
12,1.12,-16.317393502641963,-16.317392638286112,3.91774146360788e-05,0.26622395833333334,0.2774565097384982,0.2669368351272268,0.2778849651237897,5.297144122642309e-08
12,1.1,-16.14204898485901,-16.14195896627425,3.870147483623353e-05,0.2943701171875,0.27736587386396194,0.2945278840252066,0.2775757438438835,5.576651690561641e-06
12,1.08,-15.970201195776841,-15.970189274103031,4.1834877586371614e-05,0.3274365234375,0.27439393857055244,0.3243352616808411,0.2757788861068865,7.464949040889455e-07
12,1.06,-15.802098871474955,-15.802280386587517,5.50808339566878e-05,0.3553955078125,0.27198938892947305,0.35621157147758503,0.2722211419958557,1.1486772360954271e-05
12,1.04,-15.637984463435085,-15.638135866224765,6.352110604538209e-05,0.39062255859375,0.26658746506836684,0.3898950847115176,0.26667510050462356,9.68173296460512e-06
12,1.02,-15.478083867091325,-15.478195319458464,7.65958514491274e-05,0.42481038411458333,0.258820262982448,0.4250043258835756,0.2589995262908242,7.200656624989833e-06
12,1.0,-15.322595151080794,-15.32261535316502,9.466437408877172e-05,0.46182942708333335,0.24939912715488008,0.46104772891292156,0.24917785648472243,1.3184505644596212e-06
12,0.98,-15.171677586153061,-15.17177737946302,0.0001104824453685993,0.49977783203125004,0.2358793994261159,0.4974509832653529,0.23734441889450597,6.577605501567224e-06
12,0.96,-15.025442575852333,-15.025427035819739,0.0001380708303502929,0.5343953450520834,0.22305578402347034,0.5336004764920678,0.22378834248295032,1.034247910876804e-06
12,0.94,-14.883948026322873,-14.883968714393703,0.00015277997832301783,0.5699397786458333,0.20821009836991627,0.5688963143162669,0.20893000551764254,1.3899585508622923e-06
12,0.92,-14.747197186018731,-14.747177359206397,0.00019483384272437357,0.6025968424479167,0.193381765523884,0.6028048392792255,0.19327306098916944,1.344446140107357e-06
12,0.9,-14.615142146895257,-14.615137862630583,0.00017126479171064777,0.6337394205729167,0.1787424566209316,0.6349002152579867,0.17734306319283355,2.9313876194431785e-07
12,0.88,-14.48769129548572,-14.487747066373412,0.0003235589651953133,0.6551969401041667,0.16918051134480372,0.6648878584177927,0.16162757128305522,3.849535896054576e-06
12,0.86,-14.36471933605454,-14.364771731725705,0.00016997781564085247,0.6916796875000001,0.14769520382351345,0.6926078175834824,0.1465306437039614,3.6475248795024184e-06
12,0.84,-14.246078262584248,-14.24617467068747,0.00015335088337386607,0.7175748697916666,0.1323899086740282,0.7180212867953876,0.13234843207690933,6.767343365980232e-06
12,0.82,-14.131607827693534,-14.131645901251904,0.00015222764661690846,0.7418546549479167,0.11916474601891307,0.7411864467731423,0.11926556140677835,2.694212777079191e-06
12,0.8,-14.021144494312765,-14.021146121618221,0.00021152857734029948,0.76098876953125,0.10865027016467518,0.7622303045747483,0.10736707202376107,1.160608149547679e-07
12,0.78,-13.914528366146733,-13.914639881394105,0.00016239321006158723,0.7810725911458333,0.09716247802045609,0.7813218200114583,0.09665894595073946,8.014303067835639e-06
